Topic_ID,Business_Label,Keywords,Review_Count
-1,Uncategorized / Outliers,"noise, mixed, unassigned",489
0,Key Topic 1,"and, the, to, for, my, it, is, this, in, of",1215
1,Key Topic 2,"good, product, very, nice, is, quality, this, not, results, effective",359
2,Key Topic 3,"hai, aur, ye, ke, hain, hi, se, nahi, liye, bhi",35
3,Key Topic 4,"click, video, play, to, product, good, the, this, best, missing",17
4,Key Topic 5,"text, no, email, verification, mobile, code, number, response, either, empty",16
